종목명,종목코드,연도,분기,기간,보고서유형,재무기준,매출액(억원),영업이익(억원),당기순이익(억원),매출액_단독(억원),영업이익_단독(억원),당기순이익_단독(억원)
대한조선,439260,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
대한조선,439260,2021,Q4,2021-FY_누적,사업보고서(FY누적)
대한조선,439260,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
대한조선,439260,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
대한조선,439260,2022,Q4,2022-FY_누적,사업보고서(FY누적)
대한조선,439260,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
대한조선,439260,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
대한조선,439260,2023,Q4,2023-FY_누적,사업보고서(FY누적)
대한조선,439260,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2024,Q2,2024-Q2_단독,반기보고서(Q2단독)
대한조선,439260,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독)
대한조선,439260,2024,Q4,2024-FY_누적,사업보고서(FY누적)
대한조선,439260,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독)
대한조선,439260,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),2960.48,624.67,436.83,2960.48,624.67,436.83
대한조선,439260,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),2739.73,664.89,658.17,2739.73,664.89,658.17
대한조선,439260,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),12281.28,2941.03,2487.75
대한조선,439260,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),3082.71,826.39,773.95,3082.71,826.39,773.95
HD현대마린솔루션,443060,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
HD현대마린솔루션,443060,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
HD현대마린솔루션,443060,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
HD현대마린솔루션,443060,2021,Q4,2021-FY_누적,사업보고서(FY누적)
HD현대마린솔루션,443060,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
HD현대마린솔루션,443060,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
HD현대마린솔루션,443060,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
HD현대마린솔루션,443060,2022,Q4,2022-FY_누적,사업보고서(FY누적)
HD현대마린솔루션,443060,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
HD현대마린솔루션,443060,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
HD현대마린솔루션,443060,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
HD현대마린솔루션,443060,2023,Q4,2023-FY_누적,사업보고서(FY누적)
HD현대마린솔루션,443060,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
HD현대마린솔루션,443060,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),연결(CFS),4378.55,709.86,566.79,4378.55,709.86,566.79
HD현대마린솔루션,443060,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),연결(CFS),4612.61,833.83,585.29,4612.61,833.83,585.29
HD현대마린솔루션,443060,2024,Q4,2024-FY_누적,사업보고서(FY누적),연결(CFS),17454.59,2717.30,2279.40
HD현대마린솔루션,443060,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),연결(CFS),4855.98,830.07,633.18,4855.98,830.07,633.18
HD현대마린솔루션,443060,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),연결(CFS),4677.22,830.10,529.97,4677.22,830.10,529.97
HD현대마린솔루션,443060,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),연결(CFS),5131.76,935.96,797.52,5131.76,935.96,797.52
HD현대마린솔루션,443060,2025,Q4,2025-FY_누적,사업보고서(FY누적),연결(CFS),19827.01,3501.41,2695.71,5162.05,905.28,735.04
HD현대마린솔루션,443060,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),5746.09,933.94,981.39,5746.09,933.94,981.39
유니드비티플러스,446070,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
유니드비티플러스,446070,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
유니드비티플러스,446070,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
유니드비티플러스,446070,2021,FY,2021-FY_누적,사업보고서(FY누적)
유니드비티플러스,446070,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
유니드비티플러스,446070,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
유니드비티플러스,446070,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
유니드비티플러스,446070,2022,FY,2022-FY_누적,사업보고서(FY누적),별도(OFS),292.2,14.3,9.6
유니드비티플러스,446070,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),414.5,-7.9,-0.3,414.5,-7.9,-0.3
유니드비티플러스,446070,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),422.4,-12.9,-3.9,422.4,-12.9,-3.9
유니드비티플러스,446070,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),426.7,-15.5,17.5,426.7,-15.5,17.5
유니드비티플러스,446070,2023,FY,2023-FY_누적,사업보고서(FY누적),별도(OFS),1687.9,-40.7,8.6,424.3,-4.4,-4.7
유니드비티플러스,446070,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),510.9,-4.4,10.9,510.9,-4.4,10.9
유니드비티플러스,446070,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),519.9,35,38.3,519.9,35,38.3
유니드비티플러스,446070,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),458,0.5,15.4,458,0.5,15.4
유니드비티플러스,446070,2024,FY,2024-FY_누적,사업보고서(FY누적),별도(OFS),1948.9,30.5,64,460.1,-0.6,-0.6
유니드비티플러스,446070,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),450.9,-6.7,4.9,450.9,-6.7,4.9
유니드비티플러스,446070,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),412.2,-5.7,5.8,412.2,-5.7,5.8
유니드비티플러스,446070,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),별도(OFS),379.1,-14.4,-3.4,379.1,-14.4,-3.4
유니드비티플러스,446070,2025,FY,2025-FY_누적,사업보고서(FY누적),별도(OFS),1575.3,-91.5,-39.6,333.1,-64.7,-46.9
유니드비티플러스,446070,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),별도(OFS),402.9,-19.1,-14.6,402.9,-19.1,-14.6
삼성FN리츠,448730,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
삼성FN리츠,448730,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
삼성FN리츠,448730,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
삼성FN리츠,448730,2021,FY,2021-FY_누적,사업보고서(FY누적)
삼성FN리츠,448730,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
삼성FN리츠,448730,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
삼성FN리츠,448730,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
삼성FN리츠,448730,2022,FY,2022-FY_누적,사업보고서(FY누적)
삼성FN리츠,448730,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
삼성FN리츠,448730,2023,Q2,2023-Q2_단독,반기보고서(Q2단독)
삼성FN리츠,448730,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
삼성FN리츠,448730,2023,FY,2023-FY_누적,사업보고서(FY누적),별도(OFS),92.8,56.1,4.6
삼성FN리츠,448730,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
삼성FN리츠,448730,2024,Q2,2024-Q2_단독,반기보고서(Q2단독)
삼성FN리츠,448730,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독)
삼성FN리츠,448730,2024,FY,2024-FY_누적,사업보고서(FY누적),별도(OFS),101.9,59.3,3.6
삼성FN리츠,448730,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독)
삼성FN리츠,448730,2025,Q2,2025-Q2_단독,반기보고서(Q2단독)
삼성FN리츠,448730,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독)
삼성FN리츠,448730,2025,FY,2025-FY_누적,사업보고서(FY누적),별도(OFS),122.4,74,30.7
삼성FN리츠,448730,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독)
에코프로머티,450080,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
에코프로머티,450080,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
에코프로머티,450080,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
에코프로머티,450080,2021,Q4,2021-FY_누적,사업보고서(FY누적)
에코프로머티,450080,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
에코프로머티,450080,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
에코프로머티,450080,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
에코프로머티,450080,2022,Q4,2022-FY_누적,사업보고서(FY누적),별도(OFS),6652.48,389.88,155.83
에코프로머티,450080,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),별도(OFS),2349.72,83.89,54.31,2349.72,83.89,54.31
에코프로머티,450080,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),2891.41,71.25,36.66,2891.41,71.25,36.66
에코프로머티,450080,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),별도(OFS),2400.10,-68.78,-84.56,2400.10,-68.78,-84.56
에코프로머티,450080,2023,Q4,2023-FY_누적,사업보고서(FY누적),별도(OFS),9525.23,87.73,50.45,1884.00,1.36,44.05
에코프로머티,450080,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독),별도(OFS),791.85,-129.72,-84.64,791.85,-129.72,-84.64
에코프로머티,450080,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),666.92,-36.67,-8.47,666.92,-36.67,-8.47
에코프로머티,450080,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독),별도(OFS),658.75,-385.37,-277.39,658.75,-385.37,-277.39
에코프로머티,450080,2024,Q4,2024-FY_누적,사업보고서(FY누적),별도(OFS),2998.46,-647.20,-426.86,880.95,-95.45,-56.37
에코프로머티,450080,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독),별도(OFS),1360.81,-147.84,-73.26,1360.81,-147.84,-73.26
에코프로머티,450080,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),780.69,-287.90,-335.02,780.69,-287.90,-335.02
에코프로머티,450080,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독),별도(OFS),631.54,-251.41,1615.88,631.54,-251.41,1615.88
에코프로머티,450080,2025,Q4,2025-FY_누적,사업보고서(FY누적),별도(OFS),3925.06,-653.69,241.04,1152.03,33.45,-966.57
에코프로머티,450080,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독),연결(CFS),1665.29,156.78,246.18,1665.29,156.78,246.18
한화리츠,451800,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
한화리츠,451800,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
한화리츠,451800,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
한화리츠,451800,2021,FY,2021-FY_누적,사업보고서(FY누적)
한화리츠,451800,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
한화리츠,451800,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
한화리츠,451800,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
한화리츠,451800,2022,FY,2022-FY_누적,사업보고서(FY누적)
한화리츠,451800,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독)
한화리츠,451800,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),별도(OFS),116.4,66.4,19.5,116.4,66.4,19.5
한화리츠,451800,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독)
한화리츠,451800,2023,FY,2023-FY_누적,사업보고서(FY누적),별도(OFS),232.7,123.8,27.8
한화리츠,451800,2024,Q1,2024-Q1_단독,1분기보고서(Q1단독)
한화리츠,451800,2024,Q2,2024-Q2_단독,반기보고서(Q2단독),별도(OFS),120.9,65,14.6,120.9,65,14.6
한화리츠,451800,2024,Q3,2024-Q3_단독,3분기보고서(Q3단독)
한화리츠,451800,2024,FY,2024-FY_누적,사업보고서(FY누적),별도(OFS),335.1,190.8,28
한화리츠,451800,2025,Q1,2025-Q1_단독,1분기보고서(Q1단독)
한화리츠,451800,2025,Q2,2025-Q2_단독,반기보고서(Q2단독),별도(OFS),261.8,154.6,60.3,261.8,154.6,60.3
한화리츠,451800,2025,Q3,2025-Q3_단독,3분기보고서(Q3단독)
한화리츠,451800,2025,FY,2025-FY_누적,사업보고서(FY누적),별도(OFS),524.2,300.1,116.1
한화리츠,451800,2026,Q1,2026-Q1_단독,1분기보고서(Q1단독)
한화갤러리아,452260,2021,Q1,2021-Q1_단독,1분기보고서(Q1단독)
한화갤러리아,452260,2021,Q2,2021-Q2_단독,반기보고서(Q2단독)
한화갤러리아,452260,2021,Q3,2021-Q3_단독,3분기보고서(Q3단독)
한화갤러리아,452260,2021,FY,2021-FY_누적,사업보고서(FY누적)
한화갤러리아,452260,2022,Q1,2022-Q1_단독,1분기보고서(Q1단독)
한화갤러리아,452260,2022,Q2,2022-Q2_단독,반기보고서(Q2단독)
한화갤러리아,452260,2022,Q3,2022-Q3_단독,3분기보고서(Q3단독)
한화갤러리아,452260,2022,FY,2022-FY_누적,사업보고서(FY누적)
한화갤러리아,452260,2023,Q1,2023-Q1_단독,1분기보고서(Q1단독),연결(CFS),420.5,16.8,-3.9,420.5,16.8,-3.9
한화갤러리아,452260,2023,Q2,2023-Q2_단독,반기보고서(Q2단독),연결(CFS),1270.6,39.5,-16.6,1270.6,39.5,-16.6
한화갤러리아,452260,2023,Q3,2023-Q3_단독,3분기보고서(Q3단독),연결(CFS),1200.1,20,-14.2,1200.1,20,-14.2
한화갤러리아,452260,2023,FY,2023-FY_누적,사업보고서(FY누적),연결(CFS),4345,98.2,-301,1453.8,21.9,-266.3
