종목명,종목코드,시장,파일명,raw_url
화천기공,000850,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
강남제비스코,000860,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
한화,000880,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
보해양조,000890,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
유니온,000910,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
전방,000950,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
한국주철관,000970,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
DB하이텍,000990,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
페이퍼코리아,001020,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
CJ,001040,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
JW중외제약,001060,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
대한방직,001070,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
만호제강,001080,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
LX인터내셔널,001120,KOSPI,KOSPI_001_050.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_050.csv
대한제분,001130,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
유진투자증권,001200,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
금호전기,001210,KOSPI,KOSPI_001_100_test.csv,https://raw.githubusercontent.com/battlegon/Dalaran/main/data/KOSPI/KOSPI_001_100_test.csv
